"time","measured_angle","estimated_angle","estimated_drift"
296,5.87175,1.77136,0.0791468
297,1.94014,1.79827,0.0790946
298,5.19443,1.83313,0.0778497
299,7.16609,1.87152,0.0758779
300,1.7611,1.89556,0.0759282
301,3.09628,1.92241,0.0754861
302,3.98459,1.95061,0.0747157
303,3.95471,1.97801,0.0739629
304,9.29381,2.01675,0.0711761
305,0.686601,2.03363,0.0716948
306,1.30373,2.05185,0.0719845
307,2.80057,2.07306,0.0717013
308,3.02338,2.09403,0.0713375
309,-2.0475,2.10251,0.0729707
310,1.35043,2.12026,0.0732753
311,-24.8419,2.07615,0.0839837
312,-12.4096,2.06583,0.0897732
313,-20.3329,2.03706,0.0987678
314,-19.9695,2.01213,0.107653
315,-26.8628,1.97032,0.11937
316,-13.2366,1.96516,0.12558
317,-9.15474,1.9683,0.130148
318,-4.90926,1.98143,0.132992
319,1.93602,2.01097,0.133023
320,2.84338,2.04179,0.132689
321,-4.06869,2.05422,0.135256
322,-1.27534,2.07305,0.136667
323,3.68565,2.1023,0.135997
324,-7.23607,2.1048,0.139973
325,-2.48574,2.11931,0.141944
326,1.45431,2.14349,0.14224
327,3.23853,2.17013,0.141779
328,0.350786,2.19014,0.142578
329,-8.48629,2.18943,0.147239
330,-9.71879,2.18736,0.152463
331,0.213789,2.20955,0.153343
332,-10.656,2.20473,0.159043
333,-11.2265,2.20082,0.165022
334,-3.8882,2.21688,0.167755
335,4.31936,2.25314,0.166825
336,7.05425,2.29616,0.164675
337,5.93586,2.33533,0.16304
338,7.87012,2.37849,0.160534
339,4.33271,2.41221,0.159654
340,1.05602,2.43744,0.16029
341,-2.03072,2.45538,0.162367
342,-4.90816,2.46674,0.165797
343,-3.17293,2.48127,0.168439
344,-9.19158,2.48184,0.17392
345,-11.7251,2.47742,0.18062
346,-7.58453,2.48384,0.185392
347,-15.9703,2.47036,0.194173
348,-11.4016,2.47005,0.20081
349,-3.63912,2.48867,0.203755
350,-7.86142,2.49622,0.208756
351,-8.20459,2.50422,0.21395
352,8.05093,2.5535,0.211271
353,5.23867,2.5938,0.209977
354,-4.0386,2.61031,0.213246
355,8.44154,2.65897,0.21039
356,2.29907,2.68974,0.210584
357,-5.49232,2.70064,0.214667
358,-7.3172,2.70803,0.219687
359,7.71708,2.75424,0.217191
360,-5.3586,2.76671,0.221296
361,-3.93806,2.78403,0.224706
362,-7.14789,2.79217,0.229773
363,-9.64676,2.79508,0.236142
364,-11.069,2.79624,0.24327
365,-7.90563,2.80749,0.248803
366,11.7657,2.86869,0.244188
367,4.51243,2.90999,0.243353
368,15.5145,2.97909,0.236795
369,0.272717,3.00674,0.238232
370,7.55302,3.05433,0.235858
371,22.0457,3.13693,0.225837
372,6.54364,3.17718,0.224046
373,29.6762,3.27738,0.209936
374,6.98696,3.31428,0.207965
375,7.98933,3.35555,0.205468
376,14.7287,3.41288,0.199343
377,9.98866,3.45737,0.195793
378,13.0749,3.50936,0.190572
379,11.0027,3.55522,0.18649
380,8.09883,3.59417,0.184011
381,6.69602,3.6266,0.182314
382,6.45833,3.65912,0.180761
383,10.6132,3.70063,0.176909
384,8.60604,3.73636,0.174185
385,10.2125,3.77452,0.170568
386,13.5833,3.82157,0.165062
387,8.05412,3.85161,0.162682
388,11.0035,3.89003,0.158638
389,9.98408,3.92298,0.155177
390,11.1839,3.95918,0.151036
391,12.0562,3.99566,0.146397
392,9.40298,4.02511,0.14329
393,9.82881,4.05338,0.13994
394,9.8758,4.08016,0.136565
395,7.22254,4.09896,0.134739
396,7.75747,4.11824,0.132603
397,4.5601,4.12783,0.132348
398,6.60344,4.14177,0.130892
399,-0.472686,4.13634,0.133629
400,3.99327,4.14419,0.133719
401,2.58734,4.14747,0.134652
402,0.241041,4.14457,0.136998
403,1.25391,4.14339,0.13874
404,1.96206,4.14295,0.14006
405,1.42656,4.14038,0.14171
406,-1.30911,4.12907,0.145027
407,-2.61142,4.11422,0.149145
408,-7.57581,4.08707,0.156313
409,-6.60933,4.06364,0.162898
410,-6.07339,4.04339,0.169162
411,-3.04754,4.03157,0.173562
412,-3.30666,4.01957,0.178133
413,-3.77656,4.00732,0.183007
414,-1.76928,4.00177,0.186635
415,1.57414,4.00547,0.188168
416,2.24975,4.01035,0.189283
417,-3.34942,3.99996,0.193953
418,-2.34898,3.99282,0.197998
419,3.99703,4.00566,0.198004
420,1.27357,4.00959,0.199761
421,3.52007,4.01975,0.200084
422,5.07571,4.03371,0.199409
423,3.7027,4.04456,0.199631
424,-5.06414,4.03082,0.205559
425,-5.61789,4.01839,0.211862
426,-3.95158,4.01154,0.217089
427,-9.04957,3.99108,0.225679
428,-12.868,3.96281,0.236806
429,-11.6727,3.9396,0.247163
430,-2.22244,3.94377,0.251268
431,6.32036,3.97089,0.249699
432,2.21412,3.98606,0.250886
433,-2.45622,3.98666,0.255221
434,2.43525,4.00075,0.256278
435,11.5526,4.03931,0.251188
436,-6.92098,4.0231,0.258627
437,-8.90441,4.00235,0.267431
438,-2.05564,4.00372,0.271578
439,7.15474,4.02919,0.269432
440,3.41008,4.04352,0.269868
441,9.59613,4.07266,0.266049
442,9.43381,4.09762,0.262347
443,1.81291,4.10207,0.26394
444,-1.78412,4.09759,0.268049
445,10.7276,4.12542,0.263422
446,7.23337,4.14355,0.261249
447,8.46046,4.16548,0.258219
448,-1.35278,4.1575,0.262119
449,2.76776,4.16455,0.263111
450,10.6968,4.19328,0.258477
451,3.45517,4.20133,0.25901
452,7.16782,4.22114,0.256897
453,15.3673,4.26192,0.248905
454,9.26546,4.28572,0.24531
455,10.4086,4.31189,0.240894
456,4.56377,4.32068,0.240717
457,19.3758,4.37303,0.229779
458,19.131,4.42136,0.219021
459,8.37704,4.43946,0.216131
460,5.47667,4.44807,0.215374
461,5.93057,4.45814,0.214287
462,7.93427,4.47451,0.211724
463,2.94556,4.47723,0.212862
464,8.95981,4.49537,0.209534
465,7.17744,4.50836,0.207537
466,10.7425,4.5315,0.202878
467,5.09489,4.53512,0.202456
468,2.6386,4.53247,0.203886
469,12.8463,4.55775,0.197609
470,6.99639,4.56432,0.195761
471,4.28857,4.56379,0.195971
472,2.23843,4.556,0.197743
473,4.12567,4.55461,0.198071
474,0.121184,4.54072,0.201471
475,0.996164,4.53135,0.204198
476,0.351349,4.51899,0.207423
477,-0.415357,4.50447,0.211242
478,11.1709,4.52373,0.206067
479,6.90247,4.52959,0.204214
480,5.31732,4.52966,0.203597
481,7.4197,4.53548,0.201331
482,8.4867,4.54291,0.198223
483,5.15366,4.53897,0.197737
484,4.04809,4.53194,0.19812
485,-1.23016,4.50885,0.202684
486,-6.9924,4.469,0.211825
487,-8.89566,4.42743,0.222482
488,-1.89034,4.40828,0.227535
489,-3.25109,4.3841,0.233678
490,-0.0648631,4.37178,0.237259
491,2.44605,4.36692,0.238813
492,9.51725,4.38317,0.234646
493,1.26553,4.37293,0.237175
494,6.57275,4.37901,0.235384
495,15.1969,4.40465,0.226547
496,-3.45313,4.3787,0.232979
497,13.5603,4.40225,0.225436
498,-5.34511,4.3701,0.233461
499,2.64741,4.36642,0.234885
500,-3.71271,4.3371,0.241571
501,-2.8048,4.31754,0.247505
502,7.90142,4.32641,0.244518
503,5.62433,4.328,0.243432
504,9.46963,4.33755,0.23912
505,7.2809,4.33821,0.236641
506,4.98829,4.32847,0.236083
507,-2.88051,4.2947,0.242163
508,-3.1242,4.26002,0.248437
509,-7.24077,4.21236,0.258196
510,-9.2764,4.15884,0.269675
511,-8.45342,4.10788,0.280437
512,-10.8094,4.0505,0.293204
513,-9.48378,3.99856,0.30482
514,-5.87543,3.95756,0.313315
515,-2.38784,3.9264,0.318785
516,3.26016,3.91079,0.31935
517,5.04925,3.8984,0.318347
518,3.73443,3.88064,0.318475
519,4.7192,3.86434,0.317726
520,2.12488,3.83926,0.319232
521,-27.0748,3.72796,0.346355
522,-39.7125,3.59494,0.384591
523,-29.7592,3.51992,0.414052
524,-23.0671,3.46541,0.437603
525,-20.7578,3.41497,0.459118
526,-14.148,3.38735,0.474766
527,-5.12292,3.37909,0.482374
528,11.9417,3.41645,0.474725
529,-4.48577,3.39738,0.481816
530,6.66301,3.40742,0.47888
531,25.0984,3.47317,0.459325
532,-24.5095,3.39097,0.484621
533,-35.5718,3.28198,0.51994
534,-1.71469,3.2781,0.52449
535,14.5802,3.32536,0.514206
536,-3.19582,3.3189,0.520174
537,7.48043,3.34264,0.516373
538,26.5651,3.42257,0.495062
539,39.3212,3.53162,0.462018
540,23.7879,3.58254,0.443316
541,21.3935,3.62126,0.426823
542,14.3773,3.63335,0.416827
543,-0.384659,3.60218,0.420545
544,-18.418,3.5233,0.441063
545,-25.0283,3.43207,0.467745
546,-21.8986,3.35251,0.491478
547,-13.5623,3.30413,0.507371
548,-0.574251,3.29707,0.511028
549,-1.413,3.28686,0.515479
550,14.5066,3.32048,0.504859
551,20.6721,3.36679,0.488388
552,21.5334,3.4108,0.471097
553,10.1011,3.41669,0.464704
554,-10.2621,3.36049,0.477766
555,-16.6219,3.28787,0.496904
556,-8.35738,3.24259,0.508082
557,-9.95807,3.19519,0.520788
558,-16.1411,3.1305,0.53945
559,-8.83368,3.09185,0.551026
560,3.10446,3.09109,0.551013
561,4.88294,3.09522,0.549269
562,1.30481,3.0875,0.551012
563,4.61693,3.08939,0.549515
564,11.7469,3.11133,0.54103
565,9.8609,3.12593,0.534396
566,-1.7851,3.10438,0.539224
567,-1.44505,3.08429,0.543706
568,6.188,3.08743,0.54063
569,8.75459,3.09607,0.535003
570,10.4181,3.10499,0.527714
571,7.35088,3.09966,0.523466
572,5.25399,3.0873,0.521296
573,-2.49902,3.05132,0.526868
574,-1.48935,3.02004,0.531406
575,0.807129,2.99457,0.533612
576,2.56444,2.97269,0.534025
577,0.436887,2.94412,0.536566
578,-6.34506,2.89701,0.545953
579,-5.6466,2.85504,0.554609
580,-8.12372,2.80468,0.565761
581,-14.452,2.73636,0.583343
582,-6.24217,2.69712,0.592507
583,-14.2194,2.63317,0.609825
584,-18.7392,2.55771,0.63176
585,-14.7958,2.49808,0.649613
586,-9.95807,2.45388,0.662455
587,-14.9121,2.39575,0.680404
588,-15.8192,2.33697,0.699276
589,-12.295,2.2898,0.71447
590,-13.6713,2.23811,0.731082
591,-19.6523,2.17216,0.753921
592,-10.5455,2.13666,0.767223
